organizations,fullName,location,status,typeOfDeath,charges,startDisplay,mtpage,country,type,motiveConfirmed,year,month
Al-Rai,Mohamed Azzaytouniyah,Gaza City,Killed,,,24-Dec-23,https://cpj.org/data/people/mohamed-azzaytouniyah/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,December
,Mohamed Fayez Abu Matar,"Rafah city, Gaza Strip",Killed,Dangerous Assignment,,11-Oct-23,https://cpj.org/data/people/mohamed-fayez-abu-matar/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al-Quds Al-Youm,Mohamed Jamal Sobhi Al-Thalathini,Gaza,Killed,Dangerous Assignment,,11-Jan-24,https://cpj.org/data/people/mohamed-jamal-sobhi-al-thalathini/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2024,January
Al Aqsa TV,Mohamed Khaireddine,Beit Lahiya,Killed,Dangerous Assignment,,28-Dec-23,https://cpj.org/data/people/mohamed-khaireddine/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Al Aqsa TV,Mohamed Khalifeh,Gaza,Killed,,,22-Dec-23,https://cpj.org/data/people/mohamed-khalifeh/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,December
,Mohamed Mouin Ayyash,Gaza,Killed,Dangerous Assignment,,23-Nov-23,https://cpj.org/data/people/mohamed-mouin-ayyash/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Al Quds,Mohamed Nabil Al-Zaq,Gaza,Killed,Dangerous Assignment,,22-Nov-23,https://cpj.org/data/people/mohamed-nabil-al-zaq/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Al-Istiklal,Mohamed Naser Abu Huwaidi,Gaza,Killed,Dangerous Assignment,,23-Dec-23,https://cpj.org/data/people/mohamed-naser-abu-huwaidi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Palestine Today,Mohammad Balousha,Al-Saftawi neighborhood in northern Gaza,Killed,Dangerous Assignment,,17-Oct-23,https://cpj.org/data/people/mohammad-balousha/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Smart Media,Mohammad Jarghoun,Gaza Strip,Killed,Dangerous Assignment,,7-Oct-23,https://cpj.org/data/people/mohammad-jarghoun/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Palestine,Mohammad Matar Abdo,Gaza City,Killed,Unknown,,14-May-07,https://cpj.org/data/people/mohammad-matar-abdo/,Israel and the Occupied Palestinian Territory,Media Worker,Confirmed,2007,May
Palestine TV,Mohammed Abu Hatab,Unknown,Killed,Dangerous Assignment,,2-Nov-23,https://cpj.org/data/people/mohammed-abu-hatab/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Fourth Authority news agency,Mohammed Al-Salhi,Gaza Strip,Killed,Dangerous Assignment,,7-Oct-23,https://cpj.org/data/people/mohammed-al-salhi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al-Shabab Radio (Youth Radio),Mohammed Ali,northern Gaza Strip,Killed,Dangerous Assignment,,20-Oct-23,https://cpj.org/data/people/mohammed-ali/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
"Al-Resalah,Raseef22",Mohammed Atallah,Gaza,Killed,Dangerous Assignment,,29-Jan-24,https://cpj.org/data/people/mohammed-atallah/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2024,January
Al Resalah,Mohammed Imad Labad,Unknown,Killed,Dangerous Assignment,,23-Oct-23,https://cpj.org/data/people/mohammed-imad-labad/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Palestine Network for Press and Media,Mohammed Nour al-Din al-Deiri,"Shijaiyah, Gaza",Killed,,,"On or around July 30, 2014",https://cpj.org/data/people/mohammed-nour-al-din-al-deiri/,Israel and the Occupied Palestinian Territory,Media Worker,,2014,Unknown
“Khabar” News Agency,Mohammed Sobh,"Rimal district, Gaza",Killed,Dangerous Assignment,,9-Oct-23,https://cpj.org/data/people/mohammed-sobh/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
